id,countryID,StateName
1,+1,Alaska
2,+1,Alabama
3,+1,Arkansas
4,+1,Arizona
5,+1,California
6,+1,Colorado
7,+1,Connecticut
8,+1,District of Columbia
9,+1,Delaware
10,+1,Florida
11,+1,Georgia
12,+1,Hawaii
13,+1,Iowa
14,+1,Idaho
15,+1,Illinois
16,+1,Indiana
17,+1,Kansas
18,+1,Kentucky
19,+1,Louisiana
20,+1,Massachusetts
21,+1,Maryland
22,+1,Maine
23,+1,Michigan
24,+1,Minnesota
25,+1,Missouri
26,+1,Mississippi
27,+1,Montana
28,+1,North Carolina
29,+1,North Dakota
30,+1,Nebraska
31,+1,New Hampshire
32,+1,New Jersey
33,+1,New Mexico
34,+1,Nevada
35,+1,New York
36,+1,Ohio
37,+1,Oklahoma
38,+1,Oregon
39,+1,Pennsylvania
40,+1,Rhode Island
41,+1,South Carolina
42,+1,South Dakota
43,+1,Tennessee
44,+1,Texas
45,+1,Utah
46,+1,Virginia
47,+1,Vermont
48,+1,Washington
49,+1,Wisconsin
50,+1,West Virginia
51,+1,Wyoming
